Player,Opponent,Player_Score,Opponent_Score,Result,Table Points,Gameweek,GW Rank,Luck Points,Player_Rank,Opponent_Rank,Luck_Factor,Score_Difference
Shaw's Wank Redemption ⭐️,Fish⭐⭐⭐⭐,32,38,Lose,0,5,10.0,0,10.0,7.5,-2.5,6
Fish⭐⭐⭐⭐,Shaw's Wank Redemption ⭐️,38,32,Win,3,5,7.0,0,7.5,10.0,2.5,6
In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,ManéBall ⭐️⭐️⭐️Andy Uttley,27,37,Lose,0,6,8.0,0,8.5,5.0,-3.5,10
ManéBall ⭐️⭐️⭐️Andy Uttley,In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,37,27,Win,3,6,5.0,1,5.0,8.5,3.5,10
Leif it out,Balls ,27,54,Lose,0,6,8.0,0,8.5,2.0,-6.5,27
Balls ,Leif it out,54,27,Win,3,6,2.0,3,2.0,8.5,6.5,27
Stephen Hawking’s football boots ⭐️,Team Marsh,60,23,Win,3,6,1.0,3,1.0,10.0,9.0,37
Team Marsh,Stephen Hawking’s football boots ⭐️,23,60,Lose,0,6,10.0,0,10.0,1.0,-9.0,37
Toney Rocky HorrorMikey Wade,Fish⭐⭐⭐⭐,43,36,Win,3,6,3.0,3,3.0,6.0,3.0,7
Fish⭐⭐⭐⭐,Toney Rocky HorrorMikey Wade,36,43,Lose,0,6,6.0,1,6.0,3.0,-3.0,7
Warren Barton's Bowl Cut,Shaw's Wank Redemption ⭐️,40,34,Win,3,6,4.0,3,4.0,7.0,3.0,6
Shaw's Wank Redemption ⭐️,Warren Barton's Bowl Cut,34,40,Lose,0,6,7.0,0,7.0,4.0,-3.0,6
In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,Balls ,58,58,Draw,1,7,1.0,3,1.5,1.5,0.0,0
Balls ,In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,58,58,Draw,1,7,1.0,3,1.5,1.5,0.0,0
ManéBall ⭐️⭐️⭐️Andy Uttley,Team Marsh,42,35,Win,3,7,6.0,1,6.0,9.0,3.0,7
Team Marsh,ManéBall ⭐️⭐️⭐️Andy Uttley,35,42,Lose,0,7,9.0,0,9.0,6.0,-3.0,7
Leif it out,Fish⭐⭐⭐⭐,36,53,Lose,0,7,8.0,0,8.0,3.0,-5.0,17
Fish⭐⭐⭐⭐,Leif it out,53,36,Win,3,7,3.0,3,3.0,8.0,5.0,17
Stephen Hawking’s football boots ⭐️,Shaw's Wank Redemption ⭐️,29,47,Lose,0,7,10.0,0,10.0,4.5,-5.5,18
Shaw's Wank Redemption ⭐️,Stephen Hawking’s football boots ⭐️,47,29,Win,3,7,4.0,3,4.5,10.0,5.5,18
Toney Rocky HorrorMikey Wade,Warren Barton's Bowl Cut,40,47,Lose,0,7,7.0,0,7.0,4.5,-2.5,7
Warren Barton's Bowl Cut,Toney Rocky HorrorMikey Wade,47,40,Win,3,7,4.0,3,4.5,7.0,2.5,7
In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,Team Marsh,42,45,Lose,0,8,3.0,3,4.0,1.5,-2.5,3
Team Marsh,In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,45,42,Win,3,8,1.0,3,1.5,4.0,2.5,3
Balls ,Fish⭐⭐⭐⭐,26,42,Lose,0,8,10.0,0,10.0,4.0,-6.0,16
Fish⭐⭐⭐⭐,Balls ,42,26,Win,3,8,3.0,3,4.0,10.0,6.0,16
ManéBall ⭐️⭐️⭐️Andy Uttley,Shaw's Wank Redemption ⭐️,42,45,Lose,0,8,3.0,3,4.0,1.5,-2.5,3
Shaw's Wank Redemption ⭐️,ManéBall ⭐️⭐️⭐️Andy Uttley,45,42,Win,3,8,1.0,3,1.5,4.0,2.5,3
Leif it out,Warren Barton's Bowl Cut,37,28,Win,3,8,8.0,0,8.0,9.0,1.0,9
Warren Barton's Bowl Cut,Leif it out,28,37,Lose,0,8,9.0,0,9.0,8.0,-1.0,9
Stephen Hawking’s football boots ⭐️,Toney Rocky HorrorMikey Wade,39,41,Lose,0,8,7.0,0,7.0,6.0,-1.0,2
Toney Rocky HorrorMikey Wade,Stephen Hawking’s football boots ⭐️,41,39,Win,3,8,6.0,1,6.0,7.0,1.0,2
In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,Fish⭐⭐⭐⭐,45,46,Lose,0,9,4.0,3,4.0,3.0,-1.0,1
Fish⭐⭐⭐⭐,In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,46,45,Win,3,9,3.0,3,3.0,4.0,1.0,1
Team Marsh,Shaw's Wank Redemption ⭐️,27,38,Lose,0,9,9.0,0,9.0,6.0,-3.0,11
Shaw's Wank Redemption ⭐️,Team Marsh,38,27,Win,3,9,6.0,1,6.0,9.0,3.0,11
Balls ,Warren Barton's Bowl Cut,24,30,Lose,0,9,10.0,0,10.0,8.0,-2.0,6
Warren Barton's Bowl Cut,Balls ,30,24,Win,3,9,8.0,0,8.0,10.0,2.0,6
ManéBall ⭐️⭐️⭐️Andy Uttley,Toney Rocky HorrorMikey Wade,49,31,Win,3,9,2.0,3,2.0,7.0,5.0,18
Toney Rocky HorrorMikey Wade,ManéBall ⭐️⭐️⭐️Andy Uttley,31,49,Lose,0,9,7.0,0,7.0,2.0,-5.0,18
Leif it out,Stephen Hawking’s football boots ⭐️,39,67,Lose,0,9,5.0,1,5.0,1.0,-4.0,28
Stephen Hawking’s football boots ⭐️,Leif it out,67,39,Win,3,9,1.0,3,1.0,5.0,4.0,28
